name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
telangana,2021-07-01,31,24.3,28.3,36.8,24.3,32.3,24.2,79,11,100,4.17,rain,0,0,,11.2,261.3,1006.8,85.8,5.6,104.7,9.1,3,,2021-07-01T05:45:28,2021-07-01T18:54:32,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-02,28,23,25.3,31.3,23,25.8,22.8,86.4,5.2,100,8.33,rain,0,0,,18.4,275.5,1008.3,91.1,4.3,110.8,9.6,5,,2021-07-02T05:45:46,2021-07-02T18:54:36,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-03,31.1,24,27.8,36.6,24,30,22.5,73.6,0,0,0,,0,0,,23,278,1008.7,75.5,5.4,213.7,18.5,7,,2021-07-03T05:46:04,2021-07-03T18:54:40,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-04,32.1,24,28,37.8,24,30.7,23,75,0.3,100,12.5,rain,0,0,,14.8,280.7,1008.6,58.1,5.7,262.8,22.6,9,,2021-07-04T05:46:23,2021-07-04T18:54:43,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-05,31.4,26,28,37,26,30.7,23.7,77.9,0.4,100,16.67,rain,0,0,,11.3,302.4,1008.3,72.8,5.4,200.8,17.4,6,,2021-07-05T05:46:42,2021-07-05T18:54:45,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-06,32.6,25,28,38.3,25,30.3,23,75,3.3,100,29.17,rain,0,0,,14.4,323.9,1007.3,65.7,5.6,235.3,20.5,9,,2021-07-06T05:47:01,2021-07-06T18:54:46,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-07,35.7,22,26.9,41.5,22,28.7,22.7,79.8,55,100,8.33,rain,0,0,37.1,18.4,277.8,1007.3,67.6,4.9,233.3,20.2,9,,2021-07-07T05:47:20,2021-07-07T18:54:46,0.91,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999"
telangana,2021-07-08,30.3,22,24.7,32.3,22,25,22.6,89.2,8.9,100,33.33,rain,0,0,,13,273,1008,91.5,4.5,96,8.4,4,,2021-07-08T05:47:39,2021-07-08T18:54:45,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-09,29.1,23.8,26,34,23.8,27.4,23.1,84.5,0.4,100,4.17,rain,0,0,,13.3,272.5,1005.5,83.8,5.5,158.8,13.7,7,,2021-07-09T05:47:59,2021-07-09T18:54:43,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
telangana,2021-07-10,28.2,24,25.2,31.9,24,25.9,23,87.6,1.9,100,25,rain,0,0,,13.3,261.1,1004.3,89.9,4.9,126.1,11,4,,2021-07-10T05:48:19,2021-07-10T18:54:40,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VOHY,F3069,43083099999,43128599999,VOHS,43128099999,remote"
